total_engagement_percentage,share_percentage
6.4680233,17
13.9292543,17.6829268
7.3352673,17.5
4.4107086,8.2723692
9.2628382,12.4681934
11.3731856,17.7419355
4.1139241,9.6774194
3.9139942,4.1297935
12.9179331,16.1458333
5.9650618,18.3098592
19.5824135,7.5396825
6.6838046,16.9811321
6.7790657,13.4615385
9.7685367,6.5789474
3.8930829,3.3388982
12.5646123,16.6666667
9.4657375,22.2222222
3.2029138,2.8050491
3.307888,22.6666667
7.6052797,19.047619
7.0224719,14.8148148
3.4163289,11.1111111
6.4634594,25
15.7987747,15.7024793
18.3606953,16.9811321
14.351473,14.5748988
8.5552865,14.5299145
10.1778243,10.1286174
3.1512373,7.4712644
7.7935223,13.5802469
11.4081996,28.2051282
6.969697,23.0392157
8.9273817,18.4
7.9129049,22.6666667
9.375,10.5527638
9.3680297,15.0442478
2.4191919,8
30.4506145,11.5241636
9.3009119,23.7288136
15.4743976,14.8854962
2.797619,8.5308057
28.7149147,8.3333333
5.0661626,21.7391304
8.286648,18.9655172
2.5853414,14.084507
21.5492278,16.8224299
5.038961,25
8.9276281,16.3043478
5.46875,7.1428571
6.25,15.5172414
2.8754753,8.3086053
7.2537801,12.8099174
8.0749574,21.8390805
10.7216495,15.6626506
2.7960526,17.2839506
5.9015829,24.5454545
6.4833006,24.5283019
10.1905184,12.2222222
1.5551123,10.625
3.8117002,11.3821138
1.2374293,6.1728395
2.7893712,6.4356436
1.9878013,8.9795918
9.8639456,10.1449275
10.4215457,19.3277311
9.1670544,12.7272727
2.9482191,8.8945362
9.7324723,24.2857143
11.6054159,23.5294118
1.49451,5.5555556
2.0849873,15.2727273
11.1086572,16.1172161
4.8497029,20.1716738
3.8171884,11.4035088
3.0768408,14.6534653
1.9056735,8.2474227
15.017301,12.5
17.5279702,18.4210526
26.2946838,12.8712871
10.9682805,12.0181406
9.908337,22.6190476
10.9257999,15.5737705
2.9736999,13.6752137
14.964926,5.0632911
1.558368,19.0184049
13.7088734,12.2186495
13.8471587,15.3846154
12.7297481,13.4920635
3.4182848,18.2897862
12.9337539,14.2857143
12.8275571,9.3567251
13.9325843,12.4031008
12.033511,14.8648649
12.6537217,14.5945946
29.4277929,16.9230769
11.280596,18.3098592
17.1880013,16.1375661
6.1443331,20.9302326
3.8086391,5.8425584
16.8322618,17.721519
16.1383285,23.5294118
13.4971645,12.5
4.584854,12.2359155
12.3026674,14.4144144
11.9107744,11.7647059
13.1904369,10.8108108
19.2041522,18.4501845
20.2032277,11.7647059
12.8088962,12.9496403
16.5693758,16.4948454
23.241206,11.7647059
39.7293973,33.3333333
5.6197218,5.6768559
41.563786,0
47.8417266,22.2222222
33.4605598,25
17.2799697,17.2413793
41.5185784,50
37.1150729,33.3333333
34.859675,22.2222222
14.0819964,16.9421488
30.2543507,10
30.2325581,20
27.3209549,0
22.7472527,20
22.2222222,30
30.1972686,20
32.8220859,8.3333333
24.85482,11.7647059
11.4905149,17.6470588
4.373928,33.3333333
19.4444444,7.6923077
16.6366906,16.2337662
10.6520657,19
1.4958256,21.7821782
19.3354623,13.5849057
19.7970195,8.9197225
4.2560801,13.4228188
2.8815831,16.9811321
9.9173554,14.5833333
2.3233996,7.3529412
13.2256656,14.893617
18.3078928,15.6424581
3.0696903,31.4285714
5.2646058,11.1716621
11.8952618,16
12.2790981,10.7929515
9.4403158,12.9533679
13.3979885,14.2118863
19.1097923,22.8571429
12.486688,18.404908
14.6837349,15.3284672
12.22965,13.8888889
16.836983,13.2653061
8.0669224,9.7799511
14.9799599,11.3475177
10.2369542,23.902439
16.609589,14.2361111
15.5913978,14.3939394
3.7456697,5.952381
8.2992185,11.4901257
8.0268674,10.5369807
18.0412371,13.2231405
12.7678571,11.9815668
23.331173,15.7894737
22.7700414,11.8421053
12.1543265,17.7777778
13.2787631,13.9917695
20.2406174,11.6402116
8.0927188,8.3475298
10.3737113,14.4927536
13.8556884,14.0468227
14.9916248,18.556701
16.1771153,14.5728643
4.4587337,7.0175439
13.8028169,16.2361624
6.7920585,25.6355932
16.6314008,12.2222222
16.7562724,13.8888889
13.4387352,13.3079848
18.2926829,8.9552239
15.7805189,10.2564103
16.7096774,9.1463415
18.4745763,12.605042
6.9167345,5.2567237
16.4270153,10
13.0147433,12.7819549
4.8273064,8.5714286
13.3093525,13.030303
22.0563847,9.5890411
19.0104167,11.6666667
18.2190379,6.25
5.8265744,7.9069767
11.8458611,15.060241
12.6777251,11.1111111
12.4621048,21.4285714
1.2983092,7.81893
11.7331745,12.1212121
11.4013522,7.1428571
4.4233807,7.3039742
14.167113,12.345679
13.3770239,16.6666667
16.8458781,22.4489796
4.425859,2.8037383
7.8947368,7.3170732
20.79566,22
27.5347913,20
6.6310497,6.5957447
3.6772853,7.9365079
27.2932331,32.1428571
2.1075984,1.754386
9.8098592,10
13.3832231,10.3321033
15.3149606,8.3333333
12.6734505,12.7358491
12.0702179,12.7906977
16.709639,13.3663366
10.4637337,20.3883495
18.4819561,14.0495868
13.8547159,11.9815668
0.7325201,8.7301587
5.8553697,5.4824561
12.6712329,14.6153846
15.0248051,14.8148148
11.9744366,17.5438596
1.2472284,4.7619048
6.9686411,18.5185185
11.7128463,17.5
1.1683096,5.8823529
8.3853784,15.3061224
11.7974402,16.5467626
13.3274232,19.53125
11.8896484,16.6666667
5.088141,13.3012821
10.9566639,15.2777778
14.8214286,13.8111888
17.7029993,18.5819071
4.4725177,12.4723713
2.365959,15.9574468
19.0905935,17.0454545
15.6358382,16.5217391
16.7645332,16.1016949
18.4089162,20.5882353
10.6361149,11.7647059
3.254899,14.5299145
14.2857143,15.3284672
15.5174628,17
2.9858449,7.0473876
16.1567364,9.4117647
2.70499,20
3.4881991,8.4745763
16.2322275,12.8078818
15.6236605,20.2970297
16.4014974,10.4895105
3.4174702,14.8275862
15.4054054,20.2531646
15.5895692,12
3.5125467,10.0671141
20.0913242,18.1818182
10.4811947,23.7623762
14.4581861,14.9425287
14.1853933,3.5897436
15.0849443,7.5471698
3.7752563,3.8356164
1.7782489,17.472119
3.7965202,5.2810903
18.4499817,15.7894737
24.150027,9.8591549
20.4257642,9.4594595
31.1744387,16.6666667
1.2797825,16.2361624
17.8168773,2.293578
2.3400822,20.1030928
22.882939,16.3265306
29.8424163,19.1011236
18.5984723,11.1111111
14.5047659,10.2564103
5.8017928,7.8947368
10.0834492,19.1489362
16.0016454,16.6666667
4.5525292,7.2
6.7859877,5.4545455
7.0774355,7.4626866
34.4707924,8
17.4305556,15.1162791
22.0116054,20.8333333
18.3624323,24.2105263
19.1944444,22.5806452
9.9827883,10.6060606
17.0433145,16.2393162
20.412595,13.8888889
17.4536256,17.0212766
10.0913023,6.6666667
13.075374,15.0877193
19.5536663,17.9775281
2.164787,11.965812
8.4855272,7.9889807
1.516191,4.516129
17.6816464,11.7647059
12.195122,14.893617
16.5374677,14.1304348
4.5806624,11.0429448
21.0708578,14.8148148
14.9595687,12
18.5682327,13.1313131
19.1215324,16.4383562
16.0865241,17.0731707
3.1003489,14.2857143
3.2864742,10.5504587
23.3766234,22.6666667
21.1318483,15.5555556
11.3475177,19.4690265
10.0937721,20.8510638
5.6039575,12.195122
16.9982446,10.1694915
15.2921901,16.8674699
4.5507482,3.2661571
15.9684274,9.2307692
23.5369775,22.2222222
18.9700473,17.5257732
15.2807203,18.0327869
4.3135246,8.3936324
16.9642857,18.8888889
4.9369352,12.749004
15.9300184,19.4029851
20.8241354,16.6666667
19.7089947,23.8095238
16.1150512,14.9253731
14.4010195,20.5555556
18.975469,10.8433735
19.0611664,16.1616162
12.7399381,14.057508
5.8817014,14.8717949
13.5366826,14.1732283
13.3219955,14.9122807
11.3904407,14.2241379
11.0139076,21.3235294
2.7432217,22.2222222
13.8468592,11.1731844
5.8983573,9.4936709
12.4681934,18.0555556
13.2380074,12.1052632
3.6649726,6.7552602
11.801676,16.8421053
11.7850638,16.2561576
7.1374622,15.2941176
5.4172057,5.8275058
13.3591481,15.2542373
12.7291242,20.212766
13.3745835,9.5808383
11.5294511,12.9449838
10.8528621,16.6666667
11.1683849,16.119403
9.6166667,24.2424242
13.8955582,17.1428571
9.8353553,21.686747
14.1212586,14.2857143
6.5900099,13.9830508
14.5794393,20.3821656
13.5236103,13.2394366
13.2105828,20.6349206
5.1429076,16.6666667
12.6836259,17.5
5.2059819,14.3939394
15.3528361,20.9540034
0.9587104,19.6428571
10.5900484,21.4876033
9.752907,21.3333333
6.4722396,9.4936709
8.5506367,16.4556962
11.1852643,17.2881356
2.7434068,6.6666667
3.7715844,5.8796509
1.2017429,8.490566
16.0827494,12.1428571
11.6331821,25.2873563
13.2771761,22.9508197
10.0329934,18.8405797
12.400906,20.7650273
1.7738803,14.2857143
12.9581636,11.1111111
5.3036437,12.5
17.5164967,6.8181818
16.6773163,22.5806452
6.0016145,12.3723042
3.3699809,15.6521739
13.3367662,18.3098592
14.1745283,15.2173913
14.3623025,10.3448276
15.3377967,23.4782609
2.5,11.3402062
17.416318,20
11.2421384,23.1111111
14.4588045,21.3114754
2.9528923,10.106383
1.8727254,11.409396
1.9376128,9.5238095
10.3471002,31.1688312
11.0250569,28.8888889
10.3563941,20.1612903
14.1750842,13.4328358
0.9885353,15.9090909
11.7691437,15.4761905
11.5467626,13.8728324
10.8261462,16.4835165
11.5689981,13.4615385
13.9880952,19.7530864
12.1890547,13.9423077
3.3305126,6.0240964
10.4276316,17.6470588
11.3051917,28.2051282
10.2952756,26.4150943
13.2251721,17.5675676
14.1503667,17.9487179
60.0840336,0
16.1107802,2.5
11.484375,15.7894737
4.1012216,17.6470588
33.5038363,14.2857143
12.9933604,5.6521739
7.7552611,0
3.8176034,0
0.8182748,0
5.0317538,0
41.1504425,20
12.3555166,5.907173
7.9242637,5.8823529
8.1618465,3.6363636
11.0474802,0
1.1167686,8.7248322
1.7975567,30.6122449
11.4332381,10.4651163
13.2588635,19.4444444
4.6142691,12.5810636
11.0340952,13.6986301
11.3516566,29.4117647
16.1151405,11.1111111
11.5892163,9.2105263
32.5207756,20.3389831
12.9189944,8.9552239
8.497191,9.7744361
9.1387373,12.2093023
21.2281796,23.2
21.3791912,22.0588235
19.2582511,21.09375
14.5151134,24.822695
12.8823529,24.4239631
25,20.6896552
8.1164676,10.1123596
17.1416713,19.3939394
19.905482,19.6319018
8.184438,9.6636412
21.9557823,11.5789474
14.2330677,25.0803859
1.1156992,19.3181818
1.5688208,11.5015974
17.9827267,22.3529412
19.607438,29.5774648
7.4811083,15.5462185
10.2891156,11.8032787
13.0667506,23.1060606
4.7883711,9.9236641
13.7868598,25.4464286
16.3549618,24.5901639
14.0773976,23.0769231
6.8952937,15.1162791
20.4900938,22.6190476
7.3554789,7.4249605
1.4444444,4.6728972
20.6105491,29.245283
18.4445178,28.3464567
15.343086,19.223301
1.3365735,28.5714286
4.4456756,15.9292035
19.8335143,26.8041237
21.0714286,22.2222222
1.2770898,14.2857143
20.2622169,30.1204819
19.4987775,31.8181818
14.5051546,21.1640212
20.3125,27.184466
18.0113636,27.2727273
15.4592497,30.2631579
1.6398084,6.5693431
14.0156919,21.4007782
15,23.2954545
15.6490179,30.952381
15.4310345,29.3333333
16.5431445,15.6521739
15.0625602,27.9411765
13.4670487,23.5294118